,0,1,2,3,4,5
0,-154.03223867459022,195.00060466916895,622.9410668434726,460.4176675443106,0.01,0.10553320109600128
1,-153.35445600633415,444.1307676448402,1034.7780574959565,999.9997726698929,0.01,-0.039881673104612304
2,-164.3250603498155,111.45865361501095,427.41917476262483,266.2838995333406,0.13734563347216472,-0.07347619932596555
3,-157.24922192211503,70.4611257855819,353.5425093799399,169.41349129189447,1.8338202080633026,-0.03632930352722894
4,-149.76677476199478,101.82755889593983,455.7188790020141,254.28315526269196,0.01,-0.10024675958742837
5,-151.06540477458734,430.2407188774264,1114.100769833053,1000.0,2.5468588649352206,0.0808493715894259
6,-152.34821748047906,391.99095751395106,1102.1619823386134,946.6309818659357,1.6740868408741114,0.07572427197658041
7,-164.23039456196818,432.88793422693846,996.5138022919444,999.984309074927,2.575676325381787,-0.12161618440958824
8,-159.2820545872319,92.57658051816107,392.25319600287315,216.78854382790368,3.2980235087422574,0.008125648579836518
9,-155.82532843113648,98.6759298982932,420.316719370051,236.22579192290374,0.01,-0.12827993832734588
10,-153.46215141786564,124.61509768339414,505.8050806652821,308.37221930504086,0.01,0.017907486220151623
11,-150.37758769477693,411.81994155740193,1107.2621450341476,966.7640019227314,0.01,0.1441007651916262
12,-159.33270992495954,120.67140840078972,456.5872244483239,287.5717938999117,0.01,-0.16770210980253672
13,-160.17271034971702,122.95938531835418,477.71831069733634,299.1205478401632,0.01,-0.011409945044748538
14,-157.2694616481957,183.33787382070116,580.2762018932516,428.50871717487746,2.961512624038192,-0.04643292044251139
15,-155.68527467938637,440.9555364947541,1033.948352447518,999.99991206263,0.01,-0.024180676137916805
16,-157.37503045528751,439.1773139499545,1031.7362031594184,1000.0,0.01,0.15858448842750286
17,-154.9804161671704,449.7073296922159,1020.8854024758604,999.9999030150142,0.01,0.027799748965213558
18,-159.5519795248317,464.5769260205836,928.8424231518615,999.9922359409347,3.5298955450754606,0.04723875674380546
19,-161.4451529212691,92.34721049465217,394.0144264672763,219.11123281815836,0.8756541629238399,-0.07992569585090777
20,-156.991297685661,424.1619470162805,1081.6505059641079,1000.0,1.6656086270927244,0.003622925244602734
21,-157.35007446185924,428.9531872439645,1075.0329345692155,1000.0,3.0541032805632846,-0.06821172527336149
22,-157.81030833099797,432.6476897312928,1045.983973235822,999.999989667021,0.01,0.0951188669197767
23,-153.54868098840694,435.8406721594026,1081.8653701038136,999.9998040084286,0.01,0.029823456827828436
24,-149.91430261003453,434.60253481489605,1089.371588590141,985.2348955333225,0.01,-0.05248683185360757
25,-156.83601740883657,424.44513801045093,1082.3652615978608,996.7200235187245,2.5359645154567554,0.11807242601089613
26,-157.553050001066,442.63630733798476,1008.6715812042662,999.9995767246468,0.01,0.0109838111027947
27,-155.5032502621994,413.5583777758358,1091.799639759103,982.9823390262343,0.01,0.07749737230515853
28,-158.06362567839844,425.5725628852028,1067.0192688669947,999.9881033377402,1.0418907260893382,0.22751388632192796
29,-154.3518046414526,423.18124950664577,1089.9134077364522,995.1417474072863,0.01,-0.009103704831457476
30,-146.7688105162369,394.75859649853317,1130.9939625433271,939.4262462068906,0.01,0.03203990314298349
31,-159.826178546,436.3964177184797,1016.6135246747092,999.9999652516209,0.01,-0.03353633999730417
32,-159.69701347084015,94.68769127367767,397.97994008170065,224.50051482951906,2.262652524462767,-0.114345671754304
33,-157.92523521911835,440.25112184184314,1019.6656289029348,999.999730701604,0.01,0.16834754849196948
34,-161.1265155890607,430.7996414245355,1020.7763557852971,999.9998960410903,1.4452061007188997,0.034515495387832544
35,-160.750316122893,80.06372026744589,387.2653470509303,195.29510001417694,4.314891750035857,-0.048942163958309075
36,-155.0298567824239,180.96615046228814,589.1856348228439,426.06945551552315,3.0726976671239203,-0.11996356181474459
37,-153.79791904794058,411.09491121909645,1096.7745548599812,977.2545247328039,4.630706059063121,0.06454399271767233
38,-147.3336930049032,411.9622541894278,1113.5257579987845,955.7003968383958,3.308980256285273,0.0656682722562761
39,-158.56059988043316,451.4969913970266,949.979452646939,999.9999858820602,2.9895323596357115,0.07959379518282415
40,-151.13298025270947,401.8352935829868,1113.5265510835477,960.0815808636733,0.01,-0.024427071057024526
41,-157.93317466542186,429.3394728744879,1066.018607508767,1000.0,0.01,-0.055011976578445754
42,-156.0780052062178,103.16180368377275,448.9335249005882,257.2197741072791,0.01,-0.05411735432637722
43,-152.45402089118258,225.3677333199642,693.1660302416585,531.4357425183429,0.01,-0.05102829448998767
44,-157.9550376231167,89.76111579412225,402.9074760197148,218.9481589979922,2.5803766296241677,-0.021407598753666327
45,-151.6274568469791,415.816278426701,1102.128248277734,972.330237930376,2.570684321532416,-0.12387036418827907
46,-159.96327875550455,123.02864618728307,477.0619407201832,299.90836435256904,3.296488304393568,-0.1189929294343843
47,-161.7713710507472,455.4368155792589,937.732152731374,999.9962313663718,0.01,0.021068703427094763
48,-155.99795655984227,443.08206451186373,1043.4566425117032,999.9985555729734,0.01,-0.009630014464591448
49,-156.31247053680272,101.69860561617897,420.5941176906091,243.37486247242703,1.7121901171143887,-0.02237955082794882
50,-157.29580317408937,91.69485070824463,414.7025365912524,224.50014135626532,0.01,-0.015507542056321657
51,-156.85655026844725,426.64594758127885,1062.0401182740873,999.9999054371606,0.01,0.10118383590796856
52,-160.78969177749624,438.24844714332085,1000.3472577355585,1000.0,0.01,-0.21131665903184496
53,-152.0532777779091,432.99938864546016,1084.9920956605342,991.0324360823124,4.729339370845113,-0.1113084429443731
54,-145.41697484565478,83.55008810750715,418.1800486588496,208.87727258743482,0.01,-0.13273476061496742
55,-149.7613216443723,421.4218022105901,1094.706513440534,972.3139563702523,2.4947269633206544,0.057745973217835936
56,-159.1243634445709,451.99847309783195,970.9034010744015,999.9988163115538,0.01,-0.09796157597935741
57,-157.4321506150242,432.45372240830346,1047.6579403517396,999.9998842659163,0.01,-0.0015297877548500582
58,-155.3589862658996,452.2983288978301,1022.595811521637,999.9991892389124,0.7695609866380997,0.03672615642239395
59,-163.7009094931755,65.95732374737173,329.9505811810272,155.6733475863608,0.01,-0.05747770006725946
60,-152.0308271543091,453.02299858619256,1026.6421616411747,999.7075018608049,2.497473014781567,-0.10597452170195142
61,-155.9675536998279,434.17840135464525,1053.4269076047344,999.9998958628242,1.6306456162686689,0.0007128555834293446
62,-154.47911201680296,208.69943767010682,697.074873313462,513.9838933076413,3.1072355114696695,-0.1575350931282514
63,-155.36827565571855,440.92298656399,1047.1504384623693,999.9999912682157,0.01,-0.019975038250693883
64,-153.50937425533687,431.80995699823586,1069.5034717785436,1000.0,0.01,0.02277138077023755
65,-160.31991924202129,441.9107074235066,996.0033091180926,999.9956736416909,0.01,0.03279406742104838
66,-159.58649646860366,428.30331684799904,1059.153348179248,999.9996125568026,1.7696190293025131,-0.06455660931545082
67,-155.4267504202388,401.84353277046193,1106.634860463313,969.1211833490278,3.6546407660998903,0.1984185540100922
68,-155.57642878568802,443.66338674360503,1042.3955611796716,999.9899189890081,1.7188037647725753,0.061463193416185544
69,-156.0866467291099,438.19109890492103,1047.8832596381412,999.9999896940501,0.01,0.023475050525642437
70,-151.95190406344798,428.7150036856294,1101.2988621720606,999.9413497112301,1.3990718543916172,0.02660184859378538
71,-158.6759197844923,456.6194585045901,947.7806434289568,999.9851089173974,0.01,0.08776573439532843
72,-146.60057423018222,378.9429227267046,1144.000564205715,929.9678944490826,0.01,0.09569541422390133
73,-158.25826870702676,445.61678062182483,984.1060436452807,999.9993500748533,0.7564666753187547,0.21335574951846206
74,-152.0803867548148,400.1043332660614,1110.9686226388148,966.1258454159534,4.072385274569333,0.03517823598590187
75,-154.43157829356224,422.27754867217004,1088.9787482738618,990.7926157058412,0.01,-0.11690736746096511
76,-156.14972205209463,92.61594489218155,419.3090515701983,227.08735990825045,0.01,0.01854443782719588
77,-156.42165839878427,438.6476132131671,1034.0532828219855,999.992557010695,0.01,-0.1267508749805273
78,-154.84656080434627,417.76844845212497,1093.3305023245825,985.2988908120386,0.01,0.016497002460087753
79,-158.39777719799417,428.3122159185895,1049.5661848175612,999.9999049149928,2.2087160944553013,0.03492680538905034
80,-154.96899536873556,451.7615829247807,1015.7385170679719,999.9991507299925,1.0914926847669215,0.023565248378304274
